"anly_mapped_zipcode","results_to_report","results_to_report","results_to_report","results_to_report","results_to_report_less_than_1","results_to_report_less_than_1"
"02535",0,0,0,0,3,3
"02536",0,0,0,0,3,3
"02537",0,0,0,0,7,7
"02538",0,0,0,0,6,6
"02539",0,0,0,0,5,5
"02540",0,0,0,0,4,4
"02543",0,0,0,0,2,2
"02554",0,0,0,0,8,8
"02556",0,0,0,0,1,1
"02557",0,0,0,0,2,2
"02558",0,0,0,0,3,3
"02559",0,0,0,0,2,2
"02561",0,0,0,0,2,2
"02562",0,0,0,0,2,2
"02563",0,0,0,0,6,6
"02564",0,0,0,0,2,2
"02568",0,0,0,0,6,6
"02571",0,0,0,0,13,13
"02574",0,0,0,0,1,1
"02575",0,0,0,0,9,9
"02576",0,0,0,0,4,4
"02587",0,0,0,0,1,1
"02601",0,0,0,0,3,3
"02630",0,0,0,0,1,1
"02631",0,0,0,0,1,1
"02632",0,0,0,0,2,2
"02633",0,0,0,0,2,2
"02635",0,0,0,0,5,5
"02637",0,0,0,0,1,1
"02639",0,0,0,0,3,3
"02640",0,0,0,0,1,1
"02642",0,0,0,0,3,3
"02643",0,0,0,0,4,4
"02644",0,0,0,0,2,2
"02645",0,0,0,0,5,5
"02646",0,0,0,0,1,1
"02648",0,0,0,0,4,4
"02649",0,0,0,0,11,11
"02653",0,0,0,0,2,2
"02655",0,0,0,0,4,4
"02657",0,0,0,0,6,6
"02660",0,0,0,0,3,3
"02664",0,0,0,0,5,5
"02666",0,0,0,0,1,1
"02667",0,0,0,0,1,1
"02669",0,0,0,0,3,3
"02673",0,0,0,0,4,4
"02680",0,0,0,0,2,2
"02681",0,0,0,0,1,1
"02687",0,0,0,0,1,1
"02690",0,0,0,0,2,2
"02701",0,0,0,0,1,1
"02702",0,0,0,0,26,26
"02703",0,0,0,0,662,662
"02707",0,0,0,0,1,1
"02715",0,0,0,0,33,33
"02717",0,0,0,0,16,16
"02718",0,0,0,0,15,15
"02719",0,0,0,0,16,16
"02720",0,0,0,0,230,230
"02721",0,0,0,0,246,246
"02722",0,0,0,0,5,5
"02723",0,0,0,0,80,80
"02724",0,0,0,0,116,116
"02725",0,0,0,0,34,34
"02726",0,0,0,0,160,160
"02738",0,0,0,0,16,16
"02739",0,0,0,0,8,8
"02740",0,0,0,0,108,108
"02743",0,0,0,0,33,33
"02744",0,0,0,0,20,20
"02745",0,0,0,0,40,40
"02746",0,0,0,0,34,34
"02747",0,0,0,0,88,88
"02748",0,0,0,0,30,30
"02754",0,0,0,0,3,3
"02757",0,0,0,0,1,1
"02760",0,0,0,0,305,305
"02761",0,0,0,0,2,2
"02762",0,0,0,0,31,31
"02763",0,0,0,0,30,30
"02764",0,0,0,0,34,34
"02766",0,0,0,0,101,101
"02767",0,0,0,0,22,22
"02769",0,0,0,0,441,441
"02770",0,0,0,0,9,9
"02771",0,0,0,0,838,838
"02777",0,0,0,0,317,317
"02779",0,0,0,0,15,15
"02780",0,0,0,0,116,116
"02790",0,0,0,0,98,98
"02791",0,0,0,0,4,4
"02794",0,0,0,0,2,2
"02801",0,0,0,0,26,26
"02802",0,0,0,0,129,129
"02804",0,0,0,0,293,293
"02805",0,0,0,0,1,1
"02806",0,0,0,0,2031,2031
"02807",0,0,0,0,162,162
"02808",0,0,0,0,247,247
"02809",0,0,0,0,5156,5156
"02810",0,0,0,0,2,2
"02811",0,0,0,0,3,3
"02812",0,0,0,0,183,183
"02813",0,0,0,0,1004,1004
"02814",0,0,0,0,1019,1019
"02815",0,0,0,0,24,24
"02816",0,0,0,0,5919,5919
"02817",0,0,0,0,781,781
"02818",0,0,0,0,3659,3659
"02819",0,0,0,0,3,3
"02820",0,0,0,0,8,8
"02821",0,0,0,0,2,2
"02822",0,0,0,0,724,724
"02823",0,0,0,0,24,24
"02824",0,0,0,0,24,24
"02825",0,0,0,0,575,575
"02826",0,0,0,0,64,64
"02827",0,0,0,0,761,761
"02828",0,0,0,0,1206,1206
"02829",0,0,0,0,26,26
"02830",0,0,0,0,656,656
"02831",0,0,0,0,509,509
"02832",0,0,0,0,573,573
"02833",0,0,0,0,56,56
"02835",0,0,0,0,877,877
"02836",0,0,0,0,14,14
"02837",0,0,0,0,350,350
"02838",0,0,0,0,1508,1508
"02839",0,0,0,0,169,169
"02840",0,0,0,0,5592,5592
"02841",0,0,0,0,41,41
"02842",0,0,0,0,3727,3727
"02850",0,0,0,0,3,3
"02852",0,0,0,0,3833,3833
"02853",0,0,0,0,1,1
"02854",0,0,0,0,3,3
"02857",0,0,0,0,1009,1009
"02858",0,0,0,0,85,85
"02859",0,0,0,0,1561,1561
"02860",0,0,0,0,8910,8910
"02861",0,0,0,0,4232,4232
"02862",0,0,0,0,57,57
"02863",0,0,0,0,3954,3954
"02864",0,0,0,0,4321,4321
"02865",0,0,0,0,2240,2240
"02867",0,0,0,0,1,1
