"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"04430",0,0,0,0,2,2
"04444",1.5,0,0,3,1,2
"04514",0,0,0,0,1,1
"04530",0,0,0,0,1,1
"04537",0.5,0,0,1,2,2
"04609",0,0,0,0,1,1
"04735",0,0,0,0,1,1
"04736",0,0,0,0,1,1
"04742",0,0,0,0,1,1
"04841",2.3333333333333335,1,1,5,3,6
"04856",0.3333333333333333,0,0,1,3,3
"04863",3,3,3,3,0,1
"04947",1,1,1,1,1,1
"04963",0,0,0,0,1,1
"04967",1,1,1,1,2,2
"04984",1,1,1,1,1,1
"05046",3,2,2,4,0,2
"05050",0,0,0,0,1,1
"05060",0,0,0,0,1,1
"05068",0,0,0,0,1,1
"05089",0,0,0,0,1,1
"05120",0,0,0,0,2,2
"05143",3,3,3,3,0,1
"05156",0,0,0,0,1,1
"05201",0,0,0,0,7,7
"05204",2.5,0,0,5,1,2
"05301",2,2,2,2,0,1
"05401",1,1,1,1,1,1
"05403",0.16666666666666666,0,0,0,6,6
"05404",0.3333333333333333,0,0,1,3,3
"05408",1.3333333333333333,1,0,3,2,3
"05434",1,1,1,1,1,1
"05443",1,0,0,1,4,5
"05445",0,0,0,0,2,2
"05452",1.25,1,0,1,3,4
"05464",0,0,0,0,1,1
"05465",1,1,1,1,1,1
"05473",0,0,0,0,7,7
"05477",0,0,0,0,2,2
"05478",2,0,0,0,3,4
"05483",1,1,1,1,1,1
"05527",2,2,2,2,0,1
"05602",0.5,0,0,1,2,2
"05615",0,0,0,0,1,1
"05641",1,1,1,1,1,1
"05663",0,0,0,0,2,2
"05672",0.6666666666666666,1,0,1,3,3
"05673",1,0,0,2,1,2
"05674",1,1,1,1,2,2
"05677",0,0,0,0,1,1
"05682",0,0,0,0,1,1
"05701",1,1,1,1,1,1
"05702",2,0,0,4,1,2
"05705",0,0,0,0,1,1
"05753",0,0,0,0,1,1
"05819",1,1,1,1,2,2
"05821",0,0,0,0,1,1
"05853",2,1,1,3,1,2
"05855",0,0,0,0,1,1
"05910",0,0,0,0,1,1
"06000",3.3333333333333335,1,0,9,4,6
"06001",1.3737113402061856,1,1,2,556,776
"06002",1.2465423932651833,1,1,2,1216,1663
"06003",1,1,1,1,2,2
