"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"04101",0,0,0,0,1,1
"04102",0,0,0,0,3,3
"04103",3.75,3,0,6,1,4
"04105",2.6666666666666665,0,0,8,4,6
"04106",0.5714285714285714,0,0,1,6,7
"04107",0,0,0,0,1,1
"04110",1,1,1,1,2,2
"04151",2,2,2,2,0,1
"04220",0,0,0,0,2,2
"04221",0,0,0,0,1,1
"04231",0,0,0,0,1,1
"04235",3,3,3,3,0,1
"04252",0,0,0,0,2,2
"04260",0,0,0,0,1,1
"04263",0,0,0,0,2,2
"04270",0,0,0,0,1,1
"04281",2,2,2,2,0,1
"04289",0,0,0,0,3,3
"04364",0,0,0,0,1,1
"04401",1.3333333333333333,0,0,4,2,3
"04412",0,0,0,0,1,1
"04416",0,0,0,0,3,3
"04427",0,0,0,0,2,2
"04429",1,1,1,1,1,1
"04443",0,0,0,0,1,1
"04472",0,0,0,0,2,2
"04478",0,0,0,0,2,2
"04530",0,0,0,0,1,1
"04537",0.5,0,0,1,2,2
"04555",0,0,0,0,1,1
"04609",0,0,0,0,1,1
"04649",0,0,0,0,5,5
"04662",0,0,0,0,1,1
"04734",0,0,0,0,1,1
"04736",0,0,0,0,2,2
"04742",1,1,1,1,1,1
"04743",0,0,0,0,3,3
"04769",0,0,0,0,1,1
"04841",3.25,1,0,6,2,4
"04849",0.3333333333333333,0,0,1,3,3
"04850",0,0,0,0,1,1
"04856",2,2,2,2,0,1
"04861",0,0,0,0,1,1
"04863",3,3,3,3,0,1
"04915",0,0,0,0,1,1
"04921",0,0,0,0,1,1
"04927",0,0,0,0,1,1
"04938",0,0,0,0,1,1
"04947",2,2,2,2,0,1
"04955",1,1,1,1,1,1
"04963",0,0,0,0,2,2
"04966",2,2,2,2,0,1
"04974",1,1,1,1,1,1
"05020",0,0,0,0,1,1
"05031",0,0,0,0,1,1
"05034",0,0,0,0,4,4
"05050",0,0,0,0,2,2
"05060",0,0,0,0,1,1
"05081",3,3,3,3,0,1
"05085",0,0,0,0,2,2
"05088",0,0,0,0,2,2
"05089",1,1,1,1,1,1
"05091",0,0,0,0,3,3
"05143",4,4,4,4,0,1
"05156",0,0,0,0,3,3
"05201",1,1,1,1,4,4
"05211",0,0,0,0,1,1
"05254",0,0,0,0,2,2
"05255",0,0,0,0,2,2
"05257",0,0,0,0,1,1
"05301",3,3,3,3,0,1
"05356",0,0,0,0,2,2
"05401",0,0,0,0,1,1
"05403",0.5,0,0,0,8,10
"05408",0,0,0,0,1,1
"05440",0,0,0,0,1,1
"05443",1,1,1,1,1,1
"05445",0,0,0,0,1,1
"05446",0,0,0,0,1,1
"05452",1.4,1,0,1,4,5
"05462",3,2,2,4,0,2
"05464",0,0,0,0,2,2
"05465",1,1,1,1,1,1
"05468",0,0,0,0,2,2
"05477",0,0,0,0,3,3
"05482",1,1,1,1,1,1
"05488",0,0,0,0,7,7
"05491",0,0,0,0,4,4
"05600",0,0,0,0,1,1
"05602",0.5,0,0,1,2,2
"05605",0,0,0,0,1,1
"05641",0,0,0,0,1,1
"05661",0,0,0,0,4,4
"05663",0,0,0,0,2,2
"05674",0,0,0,0,1,1
"05677",0,0,0,0,1,1
"05701",1.5,0,0,3,1,2
"05734",0,0,0,0,1,1
"05742",0,0,0,0,3,3
"05773",0,0,0,0,2,2
"05829",0,0,0,0,4,4
"05853",2,1,1,3,1,2
"06000",0,0,0,0,1,1
"06001",0.6666666666666666,0,0,2,2,3
"06002",0,0,0,0,2,2
