"anly_mapped_zipcode","collection_to_accession","collection_to_accession","collection_to_accession","collection_to_accession","collection_to_accession_less_than_1","collection_to_accession_less_than_1"
"06705",0,0,0,0,1,1
"06706",0,0,0,0,1,1
"06708",0,0,0,0,8,8
"06712",0,0,0,0,1,1
"06716",0,0,0,0,1,1
"06750",0,0,0,0,1,1
"06770",0,0,0,0,3,3
"06776",0,0,0,0,11,11
"06777",0,0,0,0,3,3
"06783",1,1,1,1,1,1
"06785",0,0,0,0,2,2
"06790",1,1,1,1,1,1
"06795",0,0,0,0,3,3
"06798",0,0,0,0,1,1
"06804",0,0,0,0,6,6
"06810",0.5,0,0,0,6,8
"06811",0,0,0,0,8,8
"06812",0.75,1,0,1,4,4
"06820",0.75,0,0,1,6,8
"06824",0,0,0,0,7,7
"06825",0.8,0,0,2,3,5
"06830",0,0,0,0,8,8
"06831",0.09090909090909091,0,0,0,11,11
"06840",0,0,0,0,11,11
"06850",0,0,0,0,2,2
"06851",0,0,0,0,2,2
"06854",2,2,2,2,0,1
"06855",0,0,0,0,2,2
"06870",0,0,0,0,4,4
"06877",0.16666666666666666,0,0,0,6,6
"06878",2,2,2,2,0,2
"06880",0.2,0,0,0,10,10
"06883",0,0,0,0,1,1
"06890",0,0,0,0,1,1
"06896",0,0,0,0,1,1
"06897",0.14285714285714285,0,0,0,7,7
"06901",0,0,0,0,8,8
"06902",3.25,0,0,2,5,8
"06903",0.2,0,0,0,10,10
"06905",0,0,0,0,5,5
"06906",1.3333333333333333,2,0,2,1,3
"06907",0,0,0,0,1,1
"07001",0.6666666666666666,0,0,2,2,3
"07002",0,0,0,0,11,11
"07003",0,0,0,0,1,1
"07004",0,0,0,0,1,1
"07005",0.2,0,0,0,5,5
"07006",0.6,1,0,1,15,15
"07009",0,0,0,0,1,1
"07010",1,1,1,1,1,1
"07012",0,0,0,0,1,1
"07013",0,0,0,0,1,1
"07014",1,1,1,1,1,1
"07016",0,0,0,0,1,1
"07017",2,2,2,2,0,1
"07018",0.3125,0,0,0,15,16
"07020",0.2,0,0,0,5,5
"07021",0,0,0,0,2,2
"07023",0,0,0,0,1,1
"07024",0.14285714285714285,0,0,0,7,7
"07026",0,0,0,0,1,1
"07028",0,0,0,0,1,1
"07029",0,0,0,0,2,2
"07030",0.16216216216216217,0,0,0,36,37
"07032",0,0,0,0,9,9
"07035",0.5,0,0,1,2,2
"07036",0.125,0,0,0,8,8
"07039",0.3333333333333333,0,0,1,3,3
"07040",1,1,1,1,1,1
"07041",0,0,0,0,2,2
"07042",0,0,0,0,2,2
"07043",0,0,0,0,4,4
"07044",0,0,0,0,6,6
"07045",0,0,0,0,5,5
"07047",0.5555555555555556,1,0,1,9,9
"07050",0,0,0,0,1,1
